 INFO  Accepting connections at http://localhost:3000
 HTTP  6/2/2026 6:36:38 PM ::1 GET /
 HTTP  6/2/2026 6:36:38 PM ::1 Returned 200 in 15 ms
 HTTP  6/2/2026 6:36:38 PM ::1 GET /about
 HTTP  6/2/2026 6:36:38 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:36:38 PM ::1 GET /contact
 HTTP  6/2/2026 6:36:38 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:36:38 PM ::1 GET /privacy
 HTTP  6/2/2026 6:36:38 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:25 PM ::1 GET /
 HTTP  6/2/2026 6:37:25 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:25 PM ::1 GET /design-system/colors_and_type.css?v=4
 HTTP  6/2/2026 6:37:25 PM ::1 GET /design-system/portfolio.css?v=24
 HTTP  6/2/2026 6:37:25 PM ::1 GET /home/home.css?v=43
 HTTP  6/2/2026 6:37:25 PM ::1 GET /nav/nav.css?v=6
 HTTP  6/2/2026 6:37:25 PM ::1 Returned 200 in 11 ms
 HTTP  6/2/2026 6:37:25 PM ::1 GET /projects-data.js?v=5
 HTTP  6/2/2026 6:37:25 PM ::1 Returned 200 in 12 ms
 HTTP  6/2/2026 6:37:25 PM ::1 Returned 200 in 12 ms
 HTTP  6/2/2026 6:37:25 PM ::1 Returned 200 in 11 ms
 HTTP  6/2/2026 6:37:25 PM ::1 Returned 200 in 4 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /nav/nav.jsx?v=4
 HTTP  6/2/2026 6:37:26 PM ::1 GET /components/project-card.jsx
 HTTP  6/2/2026 6:37:26 PM ::1 GET /components/animations.jsx?v=2
 HTTP  6/2/2026 6:37:26 PM ::1 GET /components/header.jsx?v=2
 HTTP  6/2/2026 6:37:26 PM ::1 GET /components/footer.jsx?v=6
 HTTP  6/2/2026 6:37:26 PM ::1 GET /home/home-app.jsx?v=23
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /components/cookie-banner.jsx?v=7
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/site-icon.png
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/hero-bg-motion-blur-Image.jpg
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/icons/behance.svg
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/icons/linkedin.svg
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/avatar.jpg
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/work-reel.png
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/beer-box/cr.webp
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/caccaro-design-concept/cr.jpg
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/mealmate/cr.webp
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/beer-box/hr.avif?v=2
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/beer-box/g-01.avif
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/beer-box/g-02.avif
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/beer-box/g-03.webp
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/footer-bg.jpg
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 13 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 4 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/fonts/BDOGrotesk-DemiBold.woff2
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/fonts/BDOGrotesk-Regular.woff2
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/fonts/BDOGrotesk-Bold.woff2
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 2 ms
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:26 PM ::1 GET /design-system/assets/hero-bg-motion-blur.mp4?v=4
 HTTP  6/2/2026 6:37:26 PM ::1 Returned 206 in 5 ms
 HTTP  6/2/2026 6:37:28 PM ::1 GET /case-study?project=beer-box
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 200 in 1 ms
 HTTP  6/2/2026 6:37:28 PM ::1 GET /case-study.css?v=18
 HTTP  6/2/2026 6:37:28 PM ::1 GET /design-system/colors_and_type.css?v=4
 HTTP  6/2/2026 6:37:28 PM ::1 GET /design-system/portfolio.css?v=24
 HTTP  6/2/2026 6:37:28 PM ::1 GET /nav/nav.css?v=6
 HTTP  6/2/2026 6:37:28 PM ::1 GET /projects-data.js?v=5
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 304 in 1 ms
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 304 in 2 ms
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 200 in 3 ms
 HTTP  6/2/2026 6:37:28 PM ::1 GET /components/animations.jsx?v=2
 HTTP  6/2/2026 6:37:28 PM ::1 GET /nav/nav.jsx?v=4
 HTTP  6/2/2026 6:37:28 PM ::1 GET /components/header.jsx?v=2
 HTTP  6/2/2026 6:37:28 PM ::1 GET /components/footer.jsx?v=6
 HTTP  6/2/2026 6:37:28 PM ::1 GET /case-study.jsx?v=11
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 304 in 2 ms
 HTTP  6/2/2026 6:37:28 PM ::1 Returned 304 in 1 ms
